TIME,FORCE,ANSYS,WORK
0,0,0,0
1,-6.25,-0.01315425,-0.01315415
2,-12.5,-0.02630325,-0.02630315
3,-18.75,-0.0394471,-0.03944685
4,-25,-0.05258585,-0.0525854
5,-31.25,-0.06571935,-0.0657187
6,-37.5,-0.0788477,-0.07884685
7,-43.75,-0.09197085,-0.09196975
8,-50,-0.105089,-0.1050875
9,-56.25,-0.1182015,-0.1182
10,-62.5,-0.1313095,-0.1313075
11,-68.75,-0.144412,-0.1444095
12,-75,-0.1575095,-0.1575065
13,-81.25,-0.1706015,-0.170598
14,-87.5,-0.1836885,-0.183685
15,-93.75,-0.1967705,-0.1967665
16,-100,-0.2098475,-0.2098425
17,-106.25,-0.2229195,-0.222914
18,-112.5,-0.2359855,-0.23598
19,-118.75,-0.2490475,-0.2490405
20,-125,-0.2621035,-0.2620965
21,-131.25,-0.2751545,-0.2751465
22,-137.5,-0.288201,-0.288192
23,-143.75,-0.301242,-0.301232
24,-150,-0.3142775,-0.3142675
25,-156.25,-0.3273085,-0.3272975
26,-162.5,-0.340334,-0.340322
27,-168.75,-0.353355,-0.353342
28,-175,-0.36637,-0.366356
29,-181.25,-0.3793805,-0.3793655
30,-187.5,-0.392386,-0.39237
31,-193.75,-0.405386,-0.405369
32,-200,-0.418381,-0.418363
33,-206.25,-0.431371,-0.431352
34,-212.5,-0.444356,-0.444336
35,-218.75,-0.457336,-0.4573145
36,-225,-0.470311,-0.470288
37,-231.25,-0.483281,-0.483257
38,-237.5,-0.4962455,-0.4962205
39,-243.75,-0.509205,-0.5091785
40,-250,-0.52216,-0.522132
41,-256.25,-0.5351095,-0.53508
42,-262.5,-0.548054,-0.5480235
43,-268.75,-0.5609935,-0.5609615
44,-275,-0.5739275,-0.5738945
45,-281.25,-0.5868575,-0.5868225
46,-287.5,-0.5997815,-0.5997455
47,-293.75,-0.612701,-0.6126635
48,-300,-0.6256155,-0.625576
49,-306.25,-0.6385245,-0.638484
50,-312.5,-0.6514285,-0.651386
51,-318.75,-0.6643285,-0.664284
52,-325,-0.6772225,-0.6771765
53,-331.25,-0.6901115,-0.690064
54,-337.5,-0.702996,-0.702947
55,-343.75,-0.715875,-0.715824
56,-350,-0.7287495,-0.7286965
57,-356.25,-0.7416185,-0.7415635
58,-362.5,-0.754483,-0.754426
59,-368.75,-0.767342,-0.7672835
60,-375,-0.7801965,-0.780136
61,-381.25,-0.793046,-0.7929835
62,-387.5,-0.80589,-0.8058255
63,-393.75,-0.8187295,-0.818663
64,-400,-0.831564,-0.831495
65,-406.25,-0.844393,-0.8443225
66,-412.5,-0.857218,-0.857145
67,-418.75,-0.870037,-0.869962
68,-425,-0.882852,-0.8827745
69,-431.25,-0.8956615,-0.895582
70,-437.5,-0.908466,-0.9083845
71,-443.75,-0.921266,-0.9211815
