TIME,FORCE,ANSYS,WORK
0,0,0,0
1,-7.5,-0.0001578445,-0.0001578425
2,-15,-0.0003156145,-0.0003156095
3,-22.5,-0.0004733095,-0.000473302
4,-30,-0.0006309305,-0.000630919
5,-37.5,-0.000788477,-0.0007884615
6,-45,-0.0009459485,-0.0009459285
7,-52.5,-0.00110335,-0.00110332
8,-60,-0.001260665,-0.00126064
9,-67.5,-0.00141792,-0.00141788
10,-75,-0.001575095,-0.00157505
11,-82.5,-0.001732195,-0.001732145
12,-90,-0.00188922,-0.001889165
13,-97.5,-0.002046175,-0.00204611
14,-105,-0.00220305,-0.002202975
15,-112.5,-0.002359855,-0.00235978
16,-120,-0.00251659,-0.002516495
17,-127.5,-0.002673245,-0.002673145
18,-135,-0.00282983,-0.002829715
19,-142.5,-0.00298634,-0.00298622
20,-150,-0.003142775,-0.003142645
21,-157.5,-0.00329914,-0.003298995
22,-165,-0.00345543,-0.003455275
23,-172.5,-0.003611645,-0.003611475
24,-180,-0.003767785,-0.003767605
25,-187.5,-0.00392386,-0.003923665
26,-195,-0.004079855,-0.004079645
27,-202.5,-0.00423578,-0.004235555
28,-210,-0.00439163,-0.00439139
29,-217.5,-0.004547405,-0.004547155
30,-225,-0.00470311,-0.00470284
31,-232.5,-0.004858745,-0.004858455
32,-240,-0.0050143,-0.005014
33,-247.5,-0.005169785,-0.005169465
34,-255,-0.0053252,-0.00532486
35,-262.5,-0.00548054,-0.005480185
36,-270,-0.005635805,-0.005635435
37,-277.5,-0.005791,-0.00579061
38,-285,-0.005946125,-0.005945715
39,-292.5,-0.006101175,-0.006100745
40,-300,-0.006256155,-0.006255705
41,-307.5,-0.00641106,-0.00641059
42,-315,-0.006565895,-0.0065654
43,-322.5,-0.006720655,-0.00672014
44,-330,-0.006875345,-0.006874805
45,-337.5,-0.00702996,-0.0070294
46,-345,-0.007184505,-0.007183925
47,-352.5,-0.007338975,-0.00733837
48,-360,-0.00749338,-0.00749275
49,-367.5,-0.007647705,-0.007647055
50,-375,-0.007801965,-0.00780129
51,-382.5,-0.00795615,-0.00795545
52,-390,-0.008110265,-0.00810954
53,-397.5,-0.00826431,-0.008263555
54,-405,-0.008418275,-0.0084175
55,-412.5,-0.00857218,-0.00857137
56,-420,-0.008726005,-0.00872517
57,-427.5,-0.00887976,-0.008878905
58,-435,-0.009033445,-0.00903256
59,-442.5,-0.00918706,-0.009186145
