TIME,FORCE,ANSYS,WORK
150,-975,-1.991795,-1.992025
151,-981.5,-2.00482,-2.00505
152,-988,-2.01783,-2.01808
153,-994.5,-2.03085,-2.031115
154,-1001,-2.0439,-2.04423
155,-1007.5,-2.056975,-2.057395
156,-1014,-2.070075,-2.070615
157,-1020.5,-2.083175,-2.083935
158,-1027,-2.09626,-2.09724
159,-1033.5,-2.10935,-2.11057
160,-1040,-2.12255,-2.12391
161,-1046.5,-2.135755,-2.13733
162,-1053,-2.148955,-2.150755
163,-1059.5,-2.162155,-2.164235
164,-1066,-2.17551,-2.177725
165,-1072.5,-2.18897,-2.191235
166,-1079,-2.20244,-2.20475
167,-1085.5,-2.215985,-2.21827
168,-1092,-2.229515,-2.231855
169,-1098.5,-2.24306,-2.245535
170,-1105,-2.25666,-2.259235
171,-1111.5,-2.270325,-2.27294
172,-1118,-2.284015,-2.286645
173,-1124.5,-2.297695,-2.30037
174,-1131,-2.311435,-2.314205
175,-1137.5,-2.32532,-2.328175
176,-1144,-2.3392,-2.34225
177,-1150.5,-2.353075,-2.356475
178,-1157,-2.366945,-2.37073
179,-1163.5,-2.38084,-2.385005
180,-1170,-2.394875,-2.399295
181,-1176.5,-2.40893,-2.413585
182,-1183,-2.423075,-2.427915
183,-1189.5,-2.43724,-2.442405
184,-1196,-2.45152,-2.45696
185,-1202.5,-2.46605,-2.471525
186,-1209,-2.48057,-2.486105
187,-1215.5,-2.49508,-2.500705
188,-1222,-2.5096,-2.51533
189,-1228.5,-2.52415,-2.529995
190,-1235,-2.53879,-2.544745
191,-1241.5,-2.55348,-2.55961
192,-1248,-2.56825,-2.57448
193,-1254.5,-2.58309,-2.58941
194,-1261,-2.598,-2.604395
195,-1267.5,-2.61299,-2.619435
196,-1274,-2.62819,-2.6345
197,-1280.5,-2.64353,-2.64964
198,-1287,-2.65887,-2.66483
199,-1293.5,-2.674205,-2.680125
200,-1300,-2.68956,-2.6956
201,-1306.5,-2.70503,-2.71115
202,-1313,-2.72069,-2.726765
203,-1319.5,-2.7365,-2.742455
204,-1326,-2.75241,-2.758155
205,-1332.5,-2.76836,-2.773895
206,-1339,-2.784495,-2.78965
207,-1345.5,-2.8007,-2.805485
208,-1352,-2.81699,-2.82148
209,-1358.5,-2.83329,-2.837495
210,-1365,-2.84958,-2.853515
211,-1371.5,-2.865875,-2.86953
212,-1378,-2.88222,-2.88561
213,-1384.5,-2.89865,-2.901715
214,-1391,-2.915115,-2.917825
215,-1397.5,-2.931625,-2.934105
216,-1404,-2.94837,-2.95043
217,-1410.5,-2.96519,-2.966865
218,-1417,-2.98202,-2.983375
219,-1423.5,-2.999015,-2.999955
220,-1430,-3.016115,-3.016585
221,-1436.5,-3.03331,-3.033285
222,-1443,-3.05061,-3.04999
223,-1449.5,-3.068,-3.06671
224,-1456,-3.085385,-3.083465
225,-1462.5,-3.102775,-3.100315
226,-1469,-3.12015,-3.1172
227,-1475.5,-3.13754,-3.13415
228,-1482,-3.15495,-3.15116
229,-1488.5,-3.172445,-3.168255
230,-1495,-3.18997,-3.185545
231,-1501.5,-3.207605,-3.202825
232,-1508,-3.225275,-3.220155
233,-1514.5,-3.243085,-3.2375
234,-1521,-3.260935,-3.25488
235,-1527.5,-3.27894,-3.272325
236,-1534,-3.297075,-3.28983
237,-1540.5,-3.315265,-3.30736
238,-1547,-3.33346,-3.324915
239,-1553.5,-3.3517,-3.34251
240,-1560,-3.369945,-3.360135
241,-1566.5,-3.38822,-3.37785
242,-1573,-3.406495,-3.395605
243,-1579.5,-3.42477,-3.413375
244,-1586,-3.44306,-3.4312
245,-1592.5,-3.461455,-3.449145
246,-1599,-3.47984,-3.46713
247,-1605.5,-3.498225,-3.48518
248,-1612,-3.5166,-3.50326
249,-1618.5,-3.53506,-3.52135
250,-1625,-3.553805,-3.539475
251,-1631.5,-3.572545,-3.557685
252,-1638,-3.591285,-3.57599
253,-1644.5,-3.61004,-3.59438
254,-1651,-3.628805,-3.612815
255,-1657.5,-3.64756,-3.631375
256,-1664,-3.66631,-3.649995
257,-1670.5,-3.68506,-3.668625
258,-1677,-3.7038,-3.687255
259,-1683.5,-3.722605,-3.705905
260,-1690,-3.74142,-3.724605
261,-1696.5,-3.76024,-3.74337
262,-1703,-3.77908,-3.76218
263,-1709.5,-3.797985,-3.78105
264,-1716,-3.816955,-3.80004
265,-1722.5,-3.83598,-3.819155
266,-1729,-3.855015,-3.83835
267,-1735.5,-3.87405,-3.857595
268,-1742,-3.893115,-3.876925
269,-1748.5,-3.91223,-3.8963
270,-1755,-3.93134,-3.91574
271,-1761.5,-3.950445,-3.93522
272,-1768,-3.96957,-3.954855
273,-1774.5,-3.988705,-3.974565
274,-1781,-4.00784,-3.994275
275,-1787.5,-4.02706,-4.014025
276,-1794,-4.04628,-4.03384
277,-1800.5,-4.06549,-4.053665
278,-1807,-4.084875,-4.073515
279,-1813.5,-4.10455,-4.0934
280,-1820,-4.124405,-4.113325
281,-1826.5,-4.14438,-4.13329
282,-1833,-4.16449,-4.15331
283,-1839.5,-4.184715,-4.173395
284,-1846,-4.20504,-4.193515
285,-1852.5,-4.225455,-4.21368
286,-1859,-4.24592,-4.23387
287,-1865.5,-4.266415,-4.254115
288,-1872,-4.286945,-4.27444
289,-1878.5,-4.307555,-4.294795
290,-1885,-4.32818,-4.31516
291,-1891.5,-4.34895,-4.33556
292,-1898,-4.369725,-4.35602
293,-1904.5,-4.39057,-4.37658
294,-1911,-4.41154,-4.397315
295,-1917.5,-4.43256,-4.41815
296,-1924,-4.45362,-4.43903
297,-1930.5,-4.474755,-4.459975
298,-1937,-4.495895,-4.48096
299,-1943.5,-4.517095,-4.50202
300,-1950,-4.53842,-4.523145
301,-1956.5,-4.55979,-4.54433
302,-1963,-4.58119,-4.56553
303,-1969.5,-4.60266,-4.586795
304,-1976,-4.62421,-4.608215
305,-1982.5,-4.64578,-4.6297
306,-1989,-4.667395,-4.651255
307,-1995.5,-4.68906,-4.672875
308,-2002,-4.710745,-4.694565
309,-2008.5,-4.73245,-4.71631
310,-2015,-4.754145,-4.738095
311,-2021.5,-4.775875,-4.75996
312,-2028,-4.797685,-4.78194
313,-2034.5,-4.819545,-4.804075
314,-2041,-4.84141,-4.826295
315,-2047.5,-4.863305,-4.84852
316,-2054,-4.88526,-4.87078
317,-2060.5,-4.907305,-4.89309
318,-2067,-4.929455,-4.91541
319,-2073.5,-4.95175,-4.937765
320,-2080,-4.974095,-4.960195
321,-2086.5,-4.996545,-4.982705
322,-2093,-5.019175,-5.00529
323,-2099.5,-5.042105,-5.02792
324,-2106,-5.065285,-5.050565
325,-2112.5,-5.088635,-5.07327
326,-2119,-5.112135,-5.096025
327,-2125.5,-5.13574,-5.118815
328,-2132,-5.159485,-5.14166
329,-2138.5,-5.183315,-5.164615
330,-2145,-5.207255,-5.187645
331,-2151.5,-5.231215,-5.21073
332,-2158,-5.255185,-5.233885
333,-2164.5,-5.27927,-5.257095
334,-2171,-5.303385,-5.280345
335,-2177.5,-5.327505,-5.30366
336,-2184,-5.351735,-5.327045
337,-2190.5,-5.37598,-5.350485
338,-2197,-5.400275,-5.373955
339,-2203.5,-5.42464,-5.397495
340,-2210,-5.44906,-5.421165
341,-2216.5,-5.473555,-5.444915
342,-2223,-5.49806,-5.468745
343,-2229.5,-5.52265,-5.492595
344,-2236,-5.547365,-5.51652
345,-2242.5,-5.57216,-5.54049
346,-2249,-5.59704,-5.56457
347,-2255.5,-5.621965,-5.58872
348,-2262,-5.64695,-5.61295
349,-2268.5,-5.671925,-5.63721
350,-2275,-5.696895,-5.66152
351,-2281.5,-5.721935,-5.685855
352,-2288,-5.74701,-5.71022
353,-2294.5,-5.772145,-5.7346
354,-2301,-5.797275,-5.75903
355,-2307.5,-5.822415,-5.78356
356,-2314,-5.84764,-5.808125
357,-2320.5,-5.872855,-5.832705
358,-2327,-5.89815,-5.857375
359,-2333.5,-5.923545,-5.882095
360,-2340,-5.94898,-5.90685
361,-2346.5,-5.97443,-5.93165
362,-2353,-5.999945,-5.956455
363,-2359.5,-6.02548,-5.98131
364,-2366,-6.05101,-6.006175
365,-2372.5,-6.076575,-6.031105
366,-2379,-6.10214,-6.05609
367,-2385.5,-6.12773,-6.081135
368,-2392,-6.153335,-6.106205
369,-2398.5,-6.179,-6.131295
370,-2405,-6.20477,-6.15642
371,-2411.5,-6.230675,-6.181595
372,-2418,-6.2567,-6.206865
373,-2424.5,-6.282755,-6.232155
374,-2431,-6.308895,-6.25749
375,-2437.5,-6.335125,-6.282885
376,-2444,-6.361405,-6.30829
377,-2450.5,-6.38769,-6.33371
378,-2457,-6.41399,-6.35914
379,-2463.5,-6.44031,-6.384585
380,-2470,-6.466685,-6.41004
381,-2476.5,-6.49308,-6.43554
382,-2483,-6.519565,-6.461075
383,-2489.5,-6.546105,-6.48663
