TIME,FORCE,ANSYS,WORK
0,0,0,0
1,-8.75,-0.0001841445,-0.000184142
2,-17.5,-0.000368188,-0.000368182
3,-26.25,-0.0005521295,-0.0005521195
4,-35,-0.0007359695,-0.0007359555
5,-43.75,-0.0009197085,-0.000919689
6,-52.5,-0.00110335,-0.00110332
7,-61.25,-0.00128688,-0.00128685
8,-70,-0.00147032,-0.00147028
9,-78.75,-0.001653655,-0.001653605
10,-87.5,-0.001836885,-0.00183683
11,-96.25,-0.00202002,-0.002019955
12,-105,-0.00220305,-0.002202975
13,-113.75,-0.00238598,-0.0023859
14,-122.5,-0.002568815,-0.00256872
15,-131.25,-0.002751545,-0.00275144
16,-140,-0.002934175,-0.00293406
17,-148.75,-0.003116705,-0.00311658
18,-157.5,-0.00329914,-0.003298995
19,-166.25,-0.00348147,-0.003481315
20,-175,-0.0036637,-0.00366353
21,-183.75,-0.00384583,-0.00384564
22,-192.5,-0.004027865,-0.00402766
23,-201.25,-0.004209795,-0.004209575
24,-210,-0.00439163,-0.00439139
25,-218.75,-0.00457336,-0.004573105
26,-227.5,-0.004754995,-0.004754725
27,-236.25,-0.00493653,-0.004936235
28,-245,-0.005117965,-0.00511765
29,-253.75,-0.005299305,-0.005298965
30,-262.5,-0.00548054,-0.005480185
31,-271.25,-0.00566168,-0.0056613
32,-280,-0.00584272,-0.00584232
33,-288.75,-0.00602366,-0.006023235
34,-297.5,-0.0062045,-0.00620406
35,-306.25,-0.006385245,-0.00638478
36,-315,-0.006565895,-0.0065654
37,-323.75,-0.00674644,-0.006745925
38,-332.5,-0.00692689,-0.00692635
39,-341.25,-0.00710724,-0.00710667
40,-350,-0.007287495,-0.007286895
41,-358.75,-0.00746765,-0.007467025
42,-367.5,-0.007647705,-0.007647055
43,-376.25,-0.00782767,-0.007826985
44,-385,-0.00800753,-0.00800682
45,-393.75,-0.008187295,-0.008186555
46,-402.5,-0.008366965,-0.00836619
47,-411.25,-0.008546535,-0.00854573
48,-420,-0.008726005,-0.00872517
49,-428.75,-0.00890538,-0.008904515
50,-437.5,-0.00908466,-0.009083765
51,-446.25,-0.00926384,-0.00926291
52,-455,-0.00944293,-0.00944196
53,-463.75,-0.009621915,-0.009620915
54,-472.5,-0.009800805,-0.00979977
55,-481.25,-0.0099796,-0.00997853
56,-490,-0.0101583,-0.01015715
57,-498.75,-0.0103369,-0.01033575
58,-507.5,-0.01051545,-0.0105142
59,-516.25,-0.0106938,-0.0106926
60,-525,-0.0108721,-0.01087085
61,-533.75,-0.01105035,-0.01104905
62,-542.5,-0.01122845,-0.01122715
63,-551.25,-0.0114065,-0.0114051
64,-560,-0.0115844,-0.011583
65,-568.75,-0.01176225,-0.0117608
66,-577.5,-0.01194,-0.0119385
67,-586.25,-0.0121176,-0.01211605
68,-595,-0.01229515,-0.01229355
69,-603.75,-0.01247265,-0.012471
70,-612.5,-0.01265,-0.0126483
71,-621.25,-0.01282725,-0.0128255
72,-630,-0.01300445,-0.01300265
73,-638.75,-0.0131815,-0.01317965
74,-647.5,-0.0133585,-0.0133566
